"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"02.02.2017","0,53","0,53","0,54","0,53","555,00K","-1,85%"
"01.02.2017","0,54","0,52","0,54","0,52","865,00K","3,85%"
"31.01.2017","0,52","0,51","0,52","0,51","470,00K","0,00%"
"30.01.2017","0,52","0,53","0,53","0,51","975,00K","-1,89%"
"27.01.2017","0,53","0,55","0,55","0,53","1,46M","-3,64%"
"26.01.2017","0,55","0,56","0,56","0,55","430,00K","0,00%"
"24.01.2017","0,55","0,55","0,55","0,54","3,82M","0,00%"
"23.01.2017","0,55","0,56","0,56","0,54","12,02M","-1,79%"
"20.01.2017","0,56","0,55","0,57","0,55","2,43M","3,70%"
"19.01.2017","0,54","0,54","0,56","0,54","2,37M","0,00%"
"18.01.2017","0,54","0,55","0,55","0,53","1,28M","-1,82%"
"17.01.2017","0,55","0,55","0,55","0,53","1,46M","0,00%"
"16.01.2017","0,55","0,54","0,55","0,54","835,00K","1,85%"
"13.01.2017","0,54","0,51","0,56","0,50","4,18M","8,00%"
"12.01.2017","0,50","0,51","0,52","0,50","1,09M","-1,96%"
"11.01.2017","0,51","0,51","0,51","0,49","765,00K","2,00%"
"10.01.2017","0,50","0,53","0,55","0,50","2,01M","-5,66%"
"09.01.2017","0,53","0,51","0,54","0,51","1,19M","3,92%"
"06.01.2017","0,51","0,54","0,54","0,50","1,35M","-5,56%"
"05.01.2017","0,54","0,53","0,55","0,53","1,35M","1,89%"
"04.01.2017","0,53","0,53","0,54","0,52","1,50M","0,00%"
"03.01.2017","0,53","0,47","0,53","0,47","3,28M","12,77%"
"02.01.2017","0,47","0,43","0,47","0,43","1,37M","6,82%"
"29.12.2016","0,44","0,44","0,44","0,44","485,00K","0,00%"
"28.12.2016","0,44","0,44","0,44","0,44","325,00K","0,00%"
"27.12.2016","0,44","0,45","0,45","0,43","1,96M","-2,22%"
"26.12.2016","0,45","0,46","0,46","0,45","475,00K","-2,17%"
"23.12.2016","0,46","0,45","0,47","0,45","1,33M","4,55%"
"22.12.2016","0,44","0,38","0,46","0,38","3,71M","15,79%"
"21.12.2016","0,38","0,39","0,39","0,37","590,00K","0,00%"
"20.12.2016","0,38","0,38","0,39","0,38","380,00K","0,00%"
"19.12.2016","0,38","0,39","0,39","0,37","460,00K","0,00%"
"16.12.2016","0,38","0,38","0,38","0,38","1,41M","2,70%"
"15.12.2016","0,37","0,37","0,38","0,37","1,30M","0,00%"
"14.12.2016","0,37","0,37","0,37","0,36","660,00K","0,00%"
"13.12.2016","0,37","0,36","0,37","0,36","1,22M","2,78%"
"12.12.2016","0,36","0,36","0,39","0,35","1,82M","0,00%"
"09.12.2016","0,36","0,36","0,36","0,35","815,00K","2,86%"
"08.12.2016","0,35","0,35","0,36","0,35","355,00K","0,00%"
"07.12.2016","0,35","0,34","0,35","0,34","355,00K","2,94%"
"06.12.2016","0,34","0,34","0,34","0,34","555,00K","0,00%"
"05.12.2016","0,34","0,34","0,34","0,33","50,00K","0,00%"
"02.12.2016","0,34","0,33","0,34","0,33","285,00K","3,03%"
"01.12.2016","0,33","0,33","0,34","0,33","590,00K","0,00%"
"30.11.2016","0,33","0,33","0,35","0,33","735,00K","3,13%"
"29.11.2016","0,32","0,32","0,32","0,32","1,86M","0,00%"
"28.11.2016","0,32","0,32","0,33","0,32","265,00K","-3,03%"
"25.11.2016","0,33","0,32","0,33","0,32","405,00K","3,13%"
"24.11.2016","0,32","0,32","0,33","0,32","1,80M","-3,03%"
"23.11.2016","0,33","0,32","0,33","0,32","265,00K","-2,94%"
"22.11.2016","0,34","0,34","0,34","0,33","760,00K","0,00%"
"21.11.2016","0,34","0,31","0,34","0,31","290,00K","9,68%"
"18.11.2016","0,31","0,32","0,32","0,31","120,00K","-3,12%"
"17.11.2016","0,32","0,33","0,34","0,31","425,00K","-3,03%"
"16.11.2016","0,33","0,30","0,35","0,30","1,93M","17,86%"
"14.11.2016","0,28","0,29","0,29","0,28","345,00K","-3,45%"
"11.11.2016","0,29","0,29","0,30","0,28","385,00K","0,00%"
"10.11.2016","0,29","0,31","0,31","0,29","75,00K","-3,33%"
"09.11.2016","0,30","0,29","0,31","0,29","315,00K","-3,23%"
"08.11.2016","0,31","0,31","0,31","0,30","140,00K","0,00%"
"07.11.2016","0,31","0,32","0,32","0,31","115,00K","-3,12%"
"04.11.2016","0,32","0,32","0,33","0,32","325,00K","3,23%"
"03.11.2016","0,31","0,30","0,31","0,30","30,00K","0,00%"
"01.11.2016","0,31","0,32","0,32","0,31","985,00K","-3,12%"
"31.10.2016","0,32","0,32","0,32","0,32","1,05M","0,00%"
"28.10.2016","0,32","0,33","0,33","0,32","815,00K","-3,03%"
"27.10.2016","0,33","0,33","0,33","0,32","290,00K","0,00%"
"26.10.2016","0,33","0,33","0,33","0,33","330,00K","0,00%"
"25.10.2016","0,33","0,35","0,35","0,33","385,00K","-2,94%"
"24.10.2016","0,34","0,33","0,36","0,33","770,00K","3,03%"
"21.10.2016","0,33","0,33","0,33","0,32","175,00K","3,13%"
"20.10.2016","0,32","0,32","0,33","0,32","580,00K","-3,03%"
"19.10.2016","0,33","0,33","0,33","0,33","495,00K","3,13%"
"18.10.2016","0,32","0,32","0,33","0,32","170,00K","0,00%"
"17.10.2016","0,32","0,32","0,32","0,32","35,00K","0,00%"
"14.10.2016","0,32","0,32","0,32","0,32","235,00K","0,00%"
"13.10.2016","0,32","0,32","0,32","0,32","110,00K","0,00%"
"11.10.2016","0,32","0,32","0,32","0,31","400,00K","0,00%"
"10.10.2016","0,32","0,31","0,33","0,31","470,00K","3,23%"
"07.10.2016","0,31","0,30","0,31","0,30","380,00K","3,33%"
"06.10.2016","0,30","0,28","0,31","0,28","1,44M","7,14%"
"05.10.2016","0,28","0,27","0,28","0,27","665,00K","3,70%"
"04.10.2016","0,27","0,28","0,28","0,27","25,00K","-3,57%"
"03.10.2016","0,28","0,27","0,28","0,27","1,60M","3,70%"
"30.09.2016","0,27","0,27","0,27","0,27","5,00K","0,00%"
"29.09.2016","0,27","0,27","0,27","0,27","295,00K","3,85%"
"28.09.2016","0,26","0,27","0,28","0,26","100,00K","0,00%"
"27.09.2016","0,26","0,27","0,28","0,26","45,00K","-3,70%"
"26.09.2016","0,27","0,27","0,27","0,27","75,00K","0,00%"
"23.09.2016","0,27","0,27","0,28","0,27","425,00K","-3,57%"
"22.09.2016","0,28","0,26","0,28","0,26","575,00K","7,69%"
"21.09.2016","0,26","0,26","0,26","0,25","535,00K","0,00%"
"20.09.2016","0,26","0,27","0,27","0,26","505,00K","-3,70%"
"19.09.2016","0,27","0,29","0,29","0,27","1,20M","-3,57%"
"16.09.2016","0,28","0,27","0,28","0,27","250,00K","3,70%"
"15.09.2016","0,27","0,27","0,27","0,26","510,00K","0,00%"
"14.09.2016","0,27","0,27","0,27","0,27","55,00K","0,00%"
"13.09.2016","0,27","0,28","0,28","0,27","265,00K","-3,57%"
"12.09.2016","0,28","0,28","0,28","0,28","270,00K","0,00%"
"09.09.2016","0,28","0,29","0,29","0,28","235,00K","-3,45%"
"08.09.2016","0,29","0,28","0,29","0,28","1,95M","3,57%"
"06.09.2016","0,28","0,29","0,29","0,28","1,78M","-3,45%"
"05.09.2016","0,29","0,29","0,29","0,29","245,00K","0,00%"
"02.09.2016","0,29","0,29","0,30","0,28","1,20M","3,57%"
"01.09.2016","0,28","0,29","0,29","0,28","240,00K","-3,45%"
"31.08.2016","0,29","0,29","0,29","0,29","845,00K","0,00%"
"29.08.2016","0,29","0,31","0,31","0,29","260,00K","0,00%"
"26.08.2016","0,29","0,29","0,29","0,29","120,00K","0,00%"
"25.08.2016","0,29","0,30","0,30","0,29","185,00K","-3,33%"
"24.08.2016","0,30","0,30","0,30","0,29","155,00K","0,00%"
"23.08.2016","0,30","0,30","0,30","0,30","395,00K","0,00%"
"22.08.2016","0,30","0,31","0,31","0,30","235,00K","-3,23%"
"19.08.2016","0,31","0,30","0,32","0,30","270,00K","3,33%"
"18.08.2016","0,30","0,30","0,31","0,30","695,00K","0,00%"
"17.08.2016","0,30","0,31","0,31","0,30","315,00K","0,00%"
"16.08.2016","0,30","0,31","0,31","0,30","25,00K","-3,23%"
"15.08.2016","0,31","0,31","0,31","0,31","575,00K","3,33%"
"12.08.2016","0,30","0,31","0,31","0,30","475,00K","0,00%"
"11.08.2016","0,30","0,30","0,31","0,30","500,00K","0,00%"
"10.08.2016","0,30","0,31","0,31","0,30","135,00K","-3,23%"
"09.08.2016","0,31","0,30","0,32","0,30","555,00K","0,00%"
"08.08.2016","0,31","0,31","0,33","0,31","685,00K","0,00%"
"05.08.2016","0,31","0,30","0,31","0,30","225,00K","3,33%"
"04.08.2016","0,30","0,31","0,32","0,30","810,00K","-3,23%"
"03.08.2016","0,31","0,28","0,31","0,28","1,70M","10,71%"
"02.08.2016","0,28","0,29","0,29","0,28","225,00K","-6,67%"
"01.08.2016","0,30","0,30","0,30","0,30","110,00K","0,00%"
"29.07.2016","0,30","0,30","0,30","0,29","655,00K","0,00%"
"28.07.2016","0,30","0,31","0,31","0,29","390,00K","-3,23%"
"27.07.2016","0,31","0,31","0,31","0,30","610,00K","-3,12%"
"26.07.2016","0,32","0,31","0,32","0,31","320,00K","0,00%"
"25.07.2016","0,32","0,32","0,32","0,31","1,09M","3,23%"
"22.07.2016","0,31","0,32","0,33","0,29","1,83M","-3,12%"
"21.07.2016","0,32","0,28","0,32","0,28","3,24M","14,29%"
"20.07.2016","0,28","0,27","0,28","0,27","675,00K","3,70%"
"19.07.2016","0,27","0,26","0,27","0,26","395,00K","3,85%"
"18.07.2016","0,26","0,26","0,26","0,26","1,05M","0,00%"
"15.07.2016","0,26","0,27","0,27","0,26","715,00K","-3,70%"
"14.07.2016","0,27","0,28","0,28","0,27","375,00K","0,00%"
"13.07.2016","0,27","0,27","0,27","0,27","1,89M","0,00%"
"12.07.2016","0,27","0,27","0,27","0,27","240,00K","3,85%"
"11.07.2016","0,26","0,26","0,27","0,26","645,00K","0,00%"
"08.07.2016","0,26","0,27","0,27","0,26","95,00K","-3,70%"
"07.07.2016","0,27","0,26","0,27","0,26","270,00K","3,85%"
"06.07.2016","0,26","0,25","0,27","0,25","390,00K","0,00%"
"05.07.2016","0,26","0,27","0,28","0,25","575,00K","-3,70%"
"04.07.2016","0,27","0,27","0,28","0,27","725,00K","0,00%"
"01.07.2016","0,27","0,27","0,27","0,27","80,00K","0,00%"
"30.06.2016","0,27","0,28","0,28","0,27","290,00K","0,00%"
"29.06.2016","0,27","0,28","0,28","0,27","150,00K","0,00%"
"28.06.2016","0,27","0,27","0,27","0,27","95,00K","0,00%"
"27.06.2016","0,27","0,28","0,28","0,27","475,00K","-3,57%"
"24.06.2016","0,28","0,27","0,28","0,27","350,00K","0,00%"
"23.06.2016","0,28","0,29","0,29","0,28","125,00K","0,00%"
"22.06.2016","0,28","0,29","0,29","0,28","280,00K","-6,67%"
"21.06.2016","0,30","0,28","0,30","0,28","660,00K","7,14%"
"20.06.2016","0,28","0,28","0,28","0,28","30,00K","0,00%"
"17.06.2016","0,28","0,27","0,29","0,26","1,73M","7,69%"
"16.06.2016","0,26","0,28","0,28","0,26","400,00K","-7,14%"
"15.06.2016","0,28","0,29","0,29","0,27","520,00K","-6,67%"
"14.06.2016","0,30","0,30","0,30","0,30","55,00K","3,45%"
"13.06.2016","0,29","0,28","0,31","0,28","105,00K","-6,45%"
"10.06.2016","0,31","0,30","0,31","0,30","140,00K","0,00%"
"09.06.2016","0,31","0,32","0,32","0,31","113,00K","0,00%"
"08.06.2016","0,31","0,32","0,33","0,31","1,90M","-3,12%"
"07.06.2016","0,32","0,32","0,32","0,32","593,00K","0,00%"
"06.06.2016","0,32","0,34","0,35","0,32","422,00K","-3,03%"
"03.06.2016","0,33","0,34","0,34","0,32","180,00K","0,00%"
"02.06.2016","0,33","0,32","0,35","0,32","179,00K","3,13%"
"01.06.2016","0,32","0,32","0,32","0,32","168,00K","0,00%"
"31.05.2016","0,32","0,32","0,32","0,32","158,00K","3,23%"
"30.05.2016","0,31","0,30","0,32","0,30","122,00K","3,33%"
"27.05.2016","0,30","0,30","0,31","0,30","94,00K","0,00%"
"25.05.2016","0,30","0,31","0,32","0,30","240,00K","-3,23%"
"24.05.2016","0,31","0,32","0,32","0,31","484,00K","0,00%"
"23.05.2016","0,31","0,33","0,33","0,30","238,00K","-6,06%"
"20.05.2016","0,33","0,34","0,34","0,33","165,00K","0,00%"
"19.05.2016","0,33","0,33","0,35","0,33","146,00K","-2,94%"
"18.05.2016","0,34","0,34","0,34","0,33","191,00K","0,00%"
"17.05.2016","0,34","0,34","0,36","0,34","212,00K","0,00%"
"16.05.2016","0,34","0,34","0,35","0,34","374,00K","0,00%"
"13.05.2016","0,34","0,38","0,38","0,34","731,00K","-10,53%"
"12.05.2016","0,38","0,38","0,38","0,36","168,00K","0,00%"
"11.05.2016","0,38","0,38","0,38","0,37","241,00K","0,00%"
"10.05.2016","0,38","0,36","0,39","0,36","386,00K","5,56%"
"09.05.2016","0,36","0,39","0,39","0,35","340,00K","-2,70%"
"06.05.2016","0,37","0,37","0,37","0,36","62,00K","2,78%"
"05.05.2016","0,36","0,38","0,39","0,36","435,00K","-2,70%"
"04.05.2016","0,37","0,36","0,37","0,36","176,00K","5,71%"
"03.05.2016","0,35","0,37","0,37","0,35","243,00K","-5,41%"
"02.05.2016","0,37","0,38","0,39","0,36","686,00K","-2,63%"
"29.04.2016","0,38","0,37","0,38","0,37","641,00K","2,70%"
"28.04.2016","0,37","0,35","0,37","0,35","442,00K","5,71%"
"27.04.2016","0,35","0,37","0,37","0,34","1,05M","-2,78%"
"26.04.2016","0,36","0,38","0,39","0,36","688,00K","-5,26%"
"25.04.2016","0,38","0,39","0,40","0,38","241,00K","-5,00%"
"22.04.2016","0,40","0,38","0,40","0,38","378,00K","5,26%"
"20.04.2016","0,38","0,35","0,38","0,35","437,00K","5,56%"
"19.04.2016","0,36","0,35","0,37","0,35","460,00K","2,86%"
"18.04.2016","0,35","0,35","0,37","0,35","403,00K","0,00%"
"15.04.2016","0,35","0,34","0,35","0,34","256,00K","6,06%"
"14.04.2016","0,33","0,36","0,36","0,33","533,00K","-5,71%"
"13.04.2016","0,35","0,37","0,37","0,35","1,26M","-2,78%"
"12.04.2016","0,36","0,35","0,36","0,35","777,00K","5,88%"
"11.04.2016","0,34","0,36","0,37","0,33","1,03M","0,00%"
"08.04.2016","0,34","0,34","0,36","0,34","1,08M","3,03%"
"07.04.2016","0,33","0,34","0,36","0,33","476,00K","-5,71%"
"06.04.2016","0,35","0,36","0,37","0,33","794,00K","0,00%"
"05.04.2016","0,35","0,35","0,37","0,35","307,00K","0,00%"
"04.04.2016","0,35","0,40","0,40","0,35","999,00K","-12,50%"
"01.04.2016","0,40","0,36","0,42","0,35","3,49M","11,11%"
"31.03.2016","0,36","0,39","0,39","0,36","1,71M","-10,00%"
"30.03.2016","0,40","0,46","0,46","0,39","5,29M","-9,09%"
"29.03.2016","0,44","0,47","0,50","0,43","8,68M","-8,33%"
"28.03.2016","0,48","0,41","0,48","0,36","12,86M","33,33%"
"24.03.2016","0,36","0,20","0,39","0,20","18,27M","80,00%"
"23.03.2016","0,20","0,21","0,21","0,19","833,00K","0,00%"
"22.03.2016","0,20","0,19","0,22","0,19","1,69M","5,26%"
"21.03.2016","0,19","0,19","0,19","0,18","393,00K","0,00%"
"18.03.2016","0,19","0,19","0,20","0,18","115,00K","-5,00%"
"17.03.2016","0,20","0,18","0,20","0,18","511,00K","11,11%"
"16.03.2016","0,18","0,17","0,18","0,17","299,00K","5,88%"
"15.03.2016","0,17","0,19","0,19","0,17","443,00K","-10,53%"
"14.03.2016","0,19","0,20","0,21","0,19","312,00K","-5,00%"
"11.03.2016","0,20","0,21","0,21","0,20","158,00K","-4,76%"
"10.03.2016","0,21","0,21","0,21","0,20","629,00K","0,00%"
"09.03.2016","0,21","0,20","0,22","0,20","816,00K","5,00%"
"08.03.2016","0,20","0,21","0,22","0,19","1,37M","-9,09%"
"07.03.2016","0,22","0,21","0,22","0,20","1,46M","4,76%"
"04.03.2016","0,21","0,21","0,22","0,20","522,00K","5,00%"
"03.03.2016","0,20","0,19","0,23","0,19","1,67M","5,26%"
"02.03.2016","0,19","0,19","0,19","0,18","323,00K","5,56%"
"01.03.2016","0,18","0,18","0,19","0,18","205,00K","0,00%"
"29.02.2016","0,18","0,18","0,19","0,18","375,00K","0,00%"
"26.02.2016","0,18","0,19","0,20","0,18","1,36M","-5,26%"
"25.02.2016","0,19","0,20","0,20","0,18","1,12M","-5,00%"
"24.02.2016","0,20","0,17","0,20","0,17","709,00K","11,11%"
"23.02.2016","0,18","0,18","0,19","0,18","569,00K","0,00%"
"22.02.2016","0,18","0,17","0,20","0,17","1,17M","5,88%"
"19.02.2016","0,17","0,17","0,17","0,17","538,00K","0,00%"
"18.02.2016","0,17","0,17","0,19","0,17","692,00K","0,00%"
"17.02.2016","0,17","0,15","0,19","0,15","861,00K","13,33%"
"16.02.2016","0,15","0,16","0,16","0,15","483,00K","-6,25%"
"15.02.2016","0,16","0,16","0,17","0,16","211,00K","0,00%"
"12.02.2016","0,16","0,15","0,16","0,15","1,00M","14,29%"
"11.02.2016","0,14","0,15","0,15","0,14","287,00K","-6,67%"
"10.02.2016","0,15","0,15","0,15","0,14","416,00K","0,00%"
"05.02.2016","0,15","0,16","0,17","0,15","798,00K","-6,25%"
"04.02.2016","0,16","0,15","0,16","0,14","913,00K","14,29%"
"03.02.2016","0,14","0,14","0,15","0,14","763,00K","0,00%"
"02.02.2016","0,14","0,14","0,16","0,14","1,58M","-6,67%"
"01.02.2016","0,15","0,15","0,16","0,14","792,00K","0,00%"
"29.01.2016","0,15","0,14","0,15","0,14","399,00K","7,14%"
"28.01.2016","0,14","0,14","0,16","0,14","515,00K","-6,67%"
"27.01.2016","0,15","0,14","0,16","0,14","1,10M","7,14%"
"26.01.2016","0,14","0,15","0,15","0,14","982,00K","-6,67%"
"22.01.2016","0,15","0,17","0,17","0,15","703,00K","-6,25%"
"21.01.2016","0,16","0,16","0,17","0,16","1,26M","0,00%"
"20.01.2016","0,16","0,17","0,18","0,16","835,00K","-5,88%"
"19.01.2016","0,17","0,19","0,20","0,17","1,75M","-10,53%"
"18.01.2016","0,19","0,19","0,19","0,19","951,00K","-5,00%"
"15.01.2016","0,20","0,19","0,20","0,17","2,59M","5,26%"
"14.01.2016","0,19","0,18","0,19","0,18","678,00K","5,56%"
"13.01.2016","0,18","0,19","0,20","0,18","1,57M","0,00%"
"12.01.2016","0,18","0,20","0,21","0,17","1,65M","-14,29%"
"11.01.2016","0,21","0,21","0,21","0,21","455,00K","0,00%"
"08.01.2016","0,21","0,23","0,23","0,21","180,00K","-8,70%"
"07.01.2016","0,23","0,22","0,23","0,21","657,00K","4,55%"
"06.01.2016","0,22","0,22","0,22","0,22","419,00K","0,00%"
"05.01.2016","0,22","0,25","0,25","0,22","414,00K","-4,35%"
"04.01.2016","0,23","0,24","0,24","0,23","378,00K","-4,17%"
"30.12.2015","0,24","0,22","0,24","0,22","1,29M","9,09%"
"29.12.2015","0,22","0,23","0,23","0,22","55,00K","-4,35%"
"28.12.2015","0,23","0,23","0,23","0,22","724,00K","0,00%"
"23.12.2015","0,23","0,23","0,23","0,22","384,00K","0,00%"
"22.12.2015","0,23","0,22","0,23","0,22","1,44M","4,55%"
"21.12.2015","0,22","0,21","0,22","0,21","405,00K","4,76%"
"18.12.2015","0,21","0,21","0,21","0,20","305,00K","0,00%"
"17.12.2015","0,21","0,21","0,22","0,21","3,36M","0,00%"
"16.12.2015","0,21","0,21","0,21","0,21","280,00K","0,00%"
"15.12.2015","0,21","0,21","0,21","0,21","1,25M","0,00%"
"14.12.2015","0,21","0,21","0,21","0,20","228,00K","5,00%"
"11.12.2015","0,20","0,20","0,21","0,20","609,00K","-4,76%"
"10.12.2015","0,21","0,21","0,21","0,21","42,00K","0,00%"
"09.12.2015","0,21","0,21","0,21","0,20","480,00K","5,00%"
"08.12.2015","0,20","0,21","0,21","0,20","469,00K","-4,76%"
"07.12.2015","0,21","0,21","0,21","0,20","859,00K","0,00%"
"04.12.2015","0,21","0,22","0,22","0,20","1,32M","-4,55%"
"03.12.2015","0,22","0,22","0,23","0,21","1,25M","0,00%"
"02.12.2015","0,22","0,20","0,24","0,20","3,65M","10,00%"
"01.12.2015","0,20","0,20","0,21","0,19","1,47M","0,00%"
"30.11.2015","0,20","0,20","0,20","0,20","619,00K","0,00%"
"27.11.2015","0,20","0,19","0,20","0,19","995,00K","5,26%"
"26.11.2015","0,19","0,19","0,20","0,19","301,00K","0,00%"
"25.11.2015","0,19","0,20","0,21","0,19","768,00K","0,00%"
"24.11.2015","0,19","0,19","0,20","0,19","364,00K","0,00%"
"23.11.2015","0,19","0,20","0,20","0,19","936,00K","0,00%"
"19.11.2015","0,19","0,20","0,20","0,19","747,00K","-5,00%"
"18.11.2015","0,20","0,20","0,20","0,20","987,00K","0,00%"
"17.11.2015","0,20","0,20","0,21","0,20","331,00K","0,00%"
"16.11.2015","0,20","0,20","0,21","0,20","355,00K","0,00%"
"13.11.2015","0,20","0,20","0,21","0,20","806,00K","0,00%"
"12.11.2015","0,20","0,21","0,21","0,20","306,00K","-4,76%"
"11.11.2015","0,21","0,20","0,21","0,20","1,63M","5,00%"
"10.11.2015","0,20","0,20","0,20","0,20","791,00K","0,00%"
"09.11.2015","0,20","0,20","0,21","0,20","286,00K","0,00%"
"06.11.2015","0,20","0,20","0,21","0,20","1,18M","0,00%"
"05.11.2015","0,20","0,21","0,21","0,20","1,00M","-4,76%"
"04.11.2015","0,21","0,23","0,23","0,21","1,41M","-8,70%"
"03.11.2015","0,23","0,21","0,23","0,21","2,75M","9,52%"
"30.10.2015","0,21","0,20","0,21","0,20","518,00K","5,00%"
"29.10.2015","0,20","0,21","0,21","0,20","716,00K","0,00%"
"28.10.2015","0,20","0,20","0,21","0,20","1,20M","0,00%"
"27.10.2015","0,20","0,20","0,21","0,20","863,00K","0,00%"
"26.10.2015","0,20","0,21","0,21","0,20","1,06M","0,00%"
"23.10.2015","0,20","0,21","0,21","0,20","718,00K","-4,76%"
"22.10.2015","0,21","0,21","0,21","0,20","390,00K","0,00%"
"21.10.2015","0,21","0,20","0,21","0,20","906,00K","5,00%"
"20.10.2015","0,20","0,20","0,21","0,20","380,00K","0,00%"
"19.10.2015","0,20","0,21","0,21","0,20","651,00K","-4,76%"
"16.10.2015","0,21","0,21","0,22","0,20","505,00K","-4,55%"
"15.10.2015","0,22","0,20","0,22","0,20","1,00M","10,00%"
"14.10.2015","0,20","0,20","0,21","0,20","575,00K","0,00%"
"13.10.2015","0,20","0,21","0,21","0,20","1,65M","-4,76%"
"09.10.2015","0,21","0,22","0,22","0,20","2,52M","0,00%"
"08.10.2015","0,21","0,23","0,23","0,21","920,00K","-4,55%"
"07.10.2015","0,22","0,22","0,24","0,21","2,01M","0,00%"
"06.10.2015","0,22","0,20","0,22","0,19","2,45M","15,79%"
"05.10.2015","0,19","0,19","0,20","0,19","944,00K","0,00%"
"02.10.2015","0,19","0,18","0,19","0,17","1,42M","5,56%"
"01.10.2015","0,18","0,18","0,18","0,17","1,62M","5,88%"
"30.09.2015","0,17","0,18","0,19","0,17","2,51M","-5,56%"
"29.09.2015","0,18","0,18","0,19","0,18","1,64M","0,00%"
"28.09.2015","0,18","0,19","0,19","0,18","1,80M","-5,26%"
"25.09.2015","0,19","0,18","0,20","0,18","1,19M","5,56%"
"24.09.2015","0,18","0,19","0,19","0,18","1,41M","-5,26%"
"23.09.2015","0,19","0,20","0,21","0,19","1,77M","-5,00%"
"22.09.2015","0,20","0,21","0,21","0,20","1,58M","-4,76%"
"21.09.2015","0,21","0,22","0,23","0,21","1,34M","-4,55%"
"18.09.2015","0,22","0,22","0,23","0,21","1,04M","-4,35%"
"17.09.2015","0,23","0,24","0,26","0,22","2,26M","0,00%"
"16.09.2015","0,23","0,21","0,24","0,21","3,59M","9,52%"
"15.09.2015","0,21","0,19","0,21","0,19","1,32M","10,53%"
"14.09.2015","0,19","0,18","0,19","0,17","1,38M","5,56%"
"11.09.2015","0,18","0,20","0,20","0,18","2,97M","-5,26%"
"10.09.2015","0,19","0,19","0,20","0,17","2,58M","-5,00%"
"09.09.2015","0,20","0,22","0,22","0,20","3,01M","-13,04%"
"08.09.2015","0,23","0,24","0,24","0,22","1,69M","-4,17%"
"04.09.2015","0,24","0,25","0,25","0,24","1,72M","-4,00%"
"03.09.2015","0,25","0,26","0,28","0,25","1,77M","-3,85%"
"02.09.2015","0,26","0,27","0,28","0,26","1,01M","-3,70%"
"01.09.2015","0,27","0,27","0,28","0,27","1,36M","-3,57%"
"31.08.2015","0,28","0,29","0,29","0,27","1,30M","-3,45%"
"28.08.2015","0,29","0,28","0,31","0,28","943,00K","3,57%"
"27.08.2015","0,28","0,27","0,28","0,27","1,27M","3,70%"
"26.08.2015","0,27","0,28","0,28","0,26","802,00K","0,00%"
"25.08.2015","0,27","0,29","0,29","0,27","1,04M","-3,57%"
"24.08.2015","0,28","0,32","0,32","0,28","2,29M","-17,65%"
"21.08.2015","0,34","0,33","0,34","0,32","841,00K","3,03%"
"20.08.2015","0,33","0,33","0,33","0,32","590,00K","0,00%"
"19.08.2015","0,33","0,33","0,34","0,33","412,00K","0,00%"
"18.08.2015","0,33","0,33","0,34","0,32","656,00K","0,00%"
"17.08.2015","0,33","0,34","0,34","0,33","537,00K","-5,71%"
"14.08.2015","0,35","0,38","0,38","0,35","1,02M","-7,89%"
"13.08.2015","0,38","0,36","0,38","0,36","792,00K","5,56%"
"12.08.2015","0,36","0,35","0,37","0,35","1,23M","0,00%"
"11.08.2015","0,36","0,35","0,37","0,34","844,00K","5,88%"
"10.08.2015","0,34","0,35","0,35","0,34","398,00K","0,00%"
"07.08.2015","0,34","0,34","0,35","0,34","633,00K","0,00%"
"06.08.2015","0,34","0,34","0,35","0,33","534,00K","-2,86%"
"05.08.2015","0,35","0,33","0,36","0,33","1,09M","6,06%"
"04.08.2015","0,33","0,34","0,34","0,33","929,00K","-2,94%"
"03.08.2015","0,34","0,35","0,35","0,33","1,17M","0,00%"
"31.07.2015","0,34","0,38","0,39","0,34","1,63M","-10,53%"
"30.07.2015","0,38","0,38","0,38","0,37","383,00K","0,00%"
"29.07.2015","0,38","0,38","0,38","0,38","692,00K","0,00%"
"28.07.2015","0,38","0,38","0,39","0,37","620,00K","2,70%"
"27.07.2015","0,37","0,40","0,40","0,37","812,00K","-2,63%"
"24.07.2015","0,38","0,39","0,40","0,38","1,01M","-5,00%"
"23.07.2015","0,40","0,40","0,41","0,40","794,00K","0,00%"
"22.07.2015","0,40","0,40","0,40","0,40","542,00K","0,00%"
"21.07.2015","0,40","0,41","0,41","0,40","654,00K","0,00%"
"20.07.2015","0,40","0,42","0,42","0,40","1,17M","-4,76%"
"17.07.2015","0,42","0,41","0,42","0,41","670,00K","2,44%"
"16.07.2015","0,41","0,41","0,42","0,41","280,00K","0,00%"
"15.07.2015","0,41","0,42","0,42","0,41","415,00K","0,00%"
"14.07.2015","0,41","0,42","0,42","0,41","516,00K","-2,38%"
"13.07.2015","0,42","0,42","0,42","0,41","447,00K","0,00%"
"10.07.2015","0,42","0,40","0,42","0,40","1,08M","5,00%"
"08.07.2015","0,40","0,41","0,42","0,40","711,00K","-2,44%"
"07.07.2015","0,41","0,41","0,42","0,40","1,11M","0,00%"
"06.07.2015","0,41","0,41","0,42","0,41","2,17M","-2,38%"
"03.07.2015","0,42","0,42","0,44","0,42","1,52M","-2,33%"
"02.07.2015","0,43","0,41","0,43","0,41","2,27M","7,50%"
"01.07.2015","0,40","0,41","0,42","0,40","1,54M","-2,44%"
